Id,Name,School,Gender,Part Time Job,Absence Days,Extracurricular Activities,Weekly Self Study Hours,Career Aspiration,Math Score,History Score,Physics Score,Chemistry Score,Biology Score,English Score,Geography Score,,Id,Name,Email,School,Column1,Gender,Part Time Job,Absence Days,Extracurricular Activities,Weekly Self Study Hours,Career Aspiration,Math Score,History Score,Physics Score,Chemistry Score,Biology Score,English Score,Geography Score
1,Paul Casey,Gsling Academy,M,FALSE,3,FALSE,27,Lawyer,73,81,93,97,63,80,87,,,,,,,,,,,,,,,,,,,
2,Danielle Sandoval,Digital Fortress,F,FALSE,2,FALSE,47,Doctor,90,86,96,100,90,88,90,,,,,,,,,,,,,,,,,,,
3,Tina Andrews,Digital Fortress,F,FALSE,9,TRUE,13,Government Officer,81,97,95,96,65,77,94,,,,,,,,,,,,,,,,,,,
4,Tara Clark,Digital Fortress,F,FALSE,5,FALSE,3,Artist,71,74,88,80,89,63,86,,,,,,,,,,,,,,,,,,,
5,Anthony Campos,Gsling Academy,M,FALSE,5,FALSE,10,Unknown,84,77,65,65,80,74,76,,,,,,,,,,,,,,,,,,,
6,Kelly Wade,Digital Fortress,F,FALSE,2,FALSE,26,Unknown,93,100,67,78,72,80,84,,,,,,,,,,,,,,,,,,,
7,Anthony Smith,Digital Fortress,M,FALSE,3,TRUE,23,Software Engineer,99,96,97,73,88,76,64,,,,,,,,,,,,,,,,,,,
8,George Short,Gsling Academy,M,TRUE,2,TRUE,34,Software Engineer,95,95,82,63,84,70,85,,,,,,,,,,,,,,,,,,,
9,Stanley Gutierrez,Gsling Academy,M,FALSE,6,FALSE,25,Unknown,94,68,94,85,81,74,72,,,,,,,,,,,,,,,,,,,
10,Audrey Simpson,Gsling Academy,F,FALSE,3,TRUE,18,Teacher,98,69,88,71,67,71,73,,,,,,,,,,,,,,,,,,,
11,Gabrielle White,Gsling Academy,F,FALSE,2,FALSE,7,Teacher,65,60,97,94,71,81,66,,,,,,,,,,,,,,,,,,,
12,Clinton Randolph,Gsling Academy,M,FALSE,1,FALSE,7,Unknown,80,61,100,65,87,64,61,,,,,,,,,,,,,,,,,,,
13,Patricia Gomez,Digital Fortress,F,TRUE,7,FALSE,4,Business Owner,94,59,69,67,89,65,73,,,,,,,,,,,,,,,,,,,
14,Pamela Jackson,Gsling Academy,F,FALSE,10,FALSE,2,Business Owner,66,94,86,100,57,90,63,,,,,,,,,,,,,,,,,,,
15,Laura Jackson,Gsling Academy,F,FALSE,3,FALSE,39,Doctor,96,90,86,92,92,95,87,,,,,,,,,,,,,,,,,,,
